condition_label,severity,urgency,remedy_text,recommended_specialist,confidence_threshold
ischemia,mild,emergency,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.84
polyp,moderate,consult,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.8
perforation,none,monitor,Severe perforation — emergency laparotomy required,Surgery,0.87
ischemia,none,consult,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.63
stricture,severe,emergency,Benign stricture detected — recommend balloon dilation,Surgery,0.78
bleeding,mild,consult,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.87
hemorrhoids,severe,emergency,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.73
diverticulosis,severe,emergency,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.78
ischemia,moderate,monitor,Moderate ischemia — cardiology consult for possible intervention,Cardiology,0.78
hemorrhoids,severe,monitor,Moderate hemorrhoids — recommend band ligation procedure,Colorectal,0.68
diverticulosis,mild,monitor,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.74
bleeding,mild,monitor,Active bleeding detected — consider urgent endoscopic hemostasis; contact surgical team immediately,Surgery,0.71
polyp,severe,consult,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.72
perforation,mild,emergency,Small perforation detected — monitor under hospital setting,Surgery,0.7
erosion,severe,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.86
erosion,none,monitor,Moderate erosion — prescribe PPIs and schedule follow-up,Gastroenterology,0.7
infection,moderate,monitor,Minor infection signs — prescribe antibiotics and follow-up,InfectiousDisease,0.77
infection,severe,consult,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.85
erosion,moderate,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.68
obstruction,none,consult,Moderate obstruction — endoscopic stent placement advised,Surgery,0.62
stricture,mild,emergency,Severe stricture — surgical resection necessary,Surgery,0.64
stricture,mild,emergency,Moderate stricture — endoscopic stent placement recommended,Surgery,0.77
obstruction,moderate,monitor,Moderate obstruction — endoscopic stent placement advised,Surgery,0.71
normal,none,monitor,Normal examination — no intervention required,PrimaryCare,0.61
normal,none,monitor,Healthy mucosa — continue preventive care,PrimaryCare,0.62
polyp,mild,monitor,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.63
obstruction,moderate,emergency,Moderate obstruction — endoscopic stent placement advised,Surgery,0.71
hemorrhoids,severe,emergency,Small hemorrhoids detected — recommend topical treatment and lifestyle modification,Colorectal,0.62
ulcer,moderate,emergency,Mild ulcer detected — prescribe proton pump inhibitors and monitor healing,Gastroenterology,0.63
polyp,moderate,consult,Polyp with suspicious features — recommend biopsy & histopathology; consult GI,Gastroenterology,0.82
ischemia,mild,emergency,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.77
cancer,severe,emergency,Confirmed carcinoma — plan chemotherapy and surgical consult,Oncology,0.88
ulcer,severe,consult,Severe ulceration — admit patient for surgical management,Gastroenterology,0.64
erosion,moderate,emergency,Severe erosive gastritis — urgent endoscopy recommended,Gastroenterology,0.89
erosion,severe,consult,Minor erosion detected — recommend antacids and dietary adjustments,Gastroenterology,0.87
hemorrhoids,none,consult,Moderate hemorrhoids — recommend band ligation procedure,Colorectal,0.83
stricture,moderate,monitor,Severe stricture — surgical resection necessary,Surgery,0.88
hemorrhoids,mild,emergency,Severe hemorrhoids — surgical hemorrhoidectomy indicated,Colorectal,0.64
bleeding,moderate,monitor,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.61
hemorrhoids,moderate,emergency,Moderate hemorrhoids — recommend band ligation procedure,Colorectal,0.7
ulcer,mild,monitor,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.79
perforation,mild,emergency,Severe perforation — emergency laparotomy required,Surgery,0.77
ischemia,mild,monitor,Severe ischemia — consider urgent surgical revascularization,Cardiology,0.84
infection,severe,monitor,Confirmed infection — initiate targeted antimicrobial therapy,InfectiousDisease,0.66
diverticulosis,mild,emergency,Diverticulosis detected — recommend high-fiber diet and regular monitoring,Gastroenterology,0.66
obstruction,none,consult,Complete obstruction — surgical emergency,Surgery,0.83
stricture,severe,monitor,Severe stricture — surgical resection necessary,Surgery,0.65
bleeding,mild,emergency,Minor bleeding detected — monitor closely and review hemoglobin levels,Surgery,0.8
hemorrhoids,none,emergency,Moderate hemorrhoids — recommend band ligation procedure,Colorectal,0.73
ulcer,moderate,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.63
polyp,severe,monitor,Small polyp detected — schedule surveillance colonoscopy and biopsy if grows,Gastroenterology,0.62
perforation,none,consult,Moderate perforation — initiate antibiotics and surgical consult,Surgery,0.69
ulcer,mild,emergency,Ulcer with bleeding — recommend biopsy & histopathology; consult GI,Gastroenterology,0.64
stricture,moderate,consult,Benign stricture detected — recommend balloon dilation,Surgery,0.81
bleeding,none,monitor,Gastrointestinal bleeding suspected — consult GI urgently,Surgery,0.84
